ID	array_1	array_2	array_3	array_4	array_5	array_6	array_7	array_8	array_9	array_10
O75400	5.42249552568633	5.35440693742164	4.63859933672091	5.54957875938613	4.66000990391539	5.23118635380559	4.71123455985126	5.1362233762047	4.88294550671842	4.66356650865836
O96017	9.26954346728388	8.03140060936863	8.04200374237896	7.24096861663314	8.79148329632651	2.56124526072488	3.0458623611758	1.89772857791622	0.886903611458599	3.35590068771491
P04350	-0.957233513475205	1.66453837192814	1.67216482640418	-0.0619508306690443	-0.846503473922125	-0.464930045117055	-0.426669252746198	0.607135628628392	0.510054013057875	-1.11425498551035
P05556	0.777936231710755	-0.485238769165619	-2.0801226888905	0.484900663797884	2.02355170132443	0.613658876021603	-0.817593696074584	0.503796978831214	1.03024050533412	1.8136231022528
P10074	-0.300598359131932	0.478270755031692	0.113025450188055	-0.795574649667252	-1.61342661195135	-0.44936278114802	-0.74801065619698	-0.222177196231066	-0.837273717116791	0.0705021184860294
P18031	-0.0283941288404512	0.881819916509267	-1.04375962879677	-0.934953271993939	0.0867116792920747	0.268192389239867	-0.646661017951802	1.04818173699149	-0.53192385097327	0.102665928645531
P27448	6.90661462894623	7.38777955278429	8.87107166445274	8.67212556227371	9.27381328576133	1.32678903876794	2.78795683342432	1.7090483998389	0.793543003498142	-1.01006397981957
P51571	-1.64387947825274	-1.52035267199238	-0.34482044861984	-0.262954340435962	0.626998550500579	0.00181292698617066	-0.198045371074282	-1.48207198515075	0.106918519441424	-0.103348506679875
P52655	4.10135786588652	5.1658939653221	6.61337766885534	5.32432660179371	5.12480213091619	4.97458462395097	2.85693163464199	4.01923591441884	5.00863506911166	5.24169844717889
P55196	5.20842835114591	5.83745996709298	5.77250806775075	4.5290134852043	5.46986790805955	4.06249734492806	3.3578130609464	5.1063176790556	5.362622307008	4.85993140518635
P57077	8.26247259310788	7.44004793328375	8.07876061459215	7.72341464880049	6.6807633454811	0.783265915407164	1.9797303322157	0.0472105565593529	1.04762761446046	1.26029804604372
P61006	4.36688189187134	4.46110369056306	5.27567450729831	6.41383263661361	4.86772001594952	4.34272246708284	4.45667006914651	4.28027796265926	3.38445686645428	7.11190793002896
P67775	6.07885165329307	5.55192405927595	4.97866536558632	3.58105900366164	6.07485831369026	5.08043104579793	4.28145388512311	6.50698623435539	6.90631148607842	3.79910344095528
P78545	4.39678835632173	3.21681259942517	6.99076378625647	6.01345120692317	4.81504289585448	3.89795220947751	5.04975601936217	4.97251438560231	4.25389959831178	3.37292209997661
Q07890	0.781975166563987	-0.595294423317944	-0.0720638167131088	-2.52741701027078	1.4234392625811	-0.205300515584967	-3.09578717991256	0.115065871020751	-1.203030009783	0.293104113256225
Q15788	5.74831096093514	5.90156045649105	4.65018617683468	3.89113873203948	3.72086915949357	5.73955304702152	7.63827652044922	5.21657112652888	6.13780218361061	5.28929502095219
Q6AI08	0.478524346904402	-0.14359987021746	-2.06443425674452	0.174104028630323	0.860820001454876	0.385221753520633	0.626130767684235	0.654260335176942	0.550143935616516	0.102593716732432
Q6XZF7	-1.85574185303311	0.991016555491519	-0.93641081361473	0.510168906819399	-0.338415304329787	0.198023557889583	0.181535530336338	-0.351907812567345	-0.466061786943292	-0.0695766537509338
Q8IXJ6	-0.574956991542058	-0.384357067597376	-1.01947866280208	-0.221381834818556	-0.203142406329524	0.175673865322656	-0.984107889549574	0.894862557129474	-0.500791944791032	-0.535164215015108
Q96C03	3.62794962326212	4.58667394863123	4.70328819462682	4.75701218935103	4.84324773703724	5.03302334125246	5.47420891921399	5.16995875745882	4.14738304864192	4.81235349669819
Q9NX70	10.6905508851884	10.1044525004196	7.95286340618348	8.36086748831412	7.58897454621321	1.46151634741788	0.911544207540788	0.335813066313111	0.734110553668864	0.413112105127865
Q9UMR2	2.4804265022901	1.92231718108792	-0.3599122570319	-0.723979549245968	0.757695614669814	0.0365661059486571	0.529044816765686	0.597311373858341	-1.67948654788443	-1.48045660299349
Q9Y624	4.2346237526002	3.96540512448851	4.34209690871212	3.47917346342474	5.18224858505753	5.3912241982354	4.66688844701418	3.71571491556332	7.05167701564743	4.35649441454719
